onset	duration	sample	trial_type	response_time	stim_file	value
0.0000000000	n/a	n/a	STATUS	n/a	n/a	boundary
124.9700000000	n/a	n/a	Trn Stim: blue incongru D	n/a	n/a	S224
125.4700000000	n/a	n/a	Trn No Response	n/a	n/a	S105
125.5040000000	n/a	n/a	STATUS	n/a	n/a	S  7
127.5460000000	n/a	n/a	Trn Stim: blue incongru D	n/a	n/a	S224
127.8340000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
127.8480000000	n/a	n/a	FB: 0	n/a	n/a	S  9
129.8720000000	n/a	n/a	Trn Stim: yellow congru C	n/a	n/a	S113
130.1760000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
130.1900000000	n/a	n/a	FB: 0	n/a	n/a	S  9
132.2120000000	n/a	n/a	Trn Stim: blue incongru C	n/a	n/a	S223
132.5140000000	n/a	n/a	FB: +1	n/a	n/a	S  8
134.5400000000	n/a	n/a	Trn Stim: blue congru D	n/a	n/a	S214
134.8480000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
134.8580000000	n/a	n/a	FB: +1	n/a	n/a	S  8
136.8800000000	n/a	n/a	Trn Stim: yellow incongru D	n/a	n/a	S124
137.2320000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
137.2500000000	n/a	n/a	FB: 0	n/a	n/a	S  9
139.2740000000	n/a	n/a	Trn Stim: blue congru C	n/a	n/a	S213
139.5840000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
139.6080000000	n/a	n/a	FB: 0	n/a	n/a	S  9
141.6340000000	n/a	n/a	Trn Stim: blue incongru B	n/a	n/a	S222
141.8640000000	n/a	n/a	Trn Resp: left,incorrect	n/a	n/a	S103
141.8840000000	n/a	n/a	STATUS	n/a	n/a	S  6
143.9080000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
143.9260000000	n/a	n/a	FB: 0	n/a	n/a	S  9
145.9500000000	n/a	n/a	Trn Stim: yellow congru D	n/a	n/a	S114
146.2500000000	n/a	n/a	FB: +1	n/a	n/a	S  8
148.2760000000	n/a	n/a	Trn Stim: blue incongru D	n/a	n/a	S224
148.6320000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
148.6440000000	n/a	n/a	FB: 0	n/a	n/a	S  9
150.6680000000	n/a	n/a	Trn Stim: blue congru A	n/a	n/a	S211
150.9680000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
150.9860000000	n/a	n/a	FB: +1	n/a	n/a	S  8
153.0080000000	n/a	n/a	Trn Stim: yellow incongru B	n/a	n/a	S122
153.3280000000	n/a	n/a	Trn Resp: right,incorrect	n/a	n/a	S104
153.3440000000	n/a	n/a	STATUS	n/a	n/a	S  6
155.3700000000	n/a	n/a	Trn Stim: yellow incongru B	n/a	n/a	S122
155.6080000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
155.6200000000	n/a	n/a	FB: 0	n/a	n/a	S  9
157.6440000000	n/a	n/a	Trn Stim: blue incongru D	n/a	n/a	S224
158.0960000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
158.1120000000	n/a	n/a	FB: 0	n/a	n/a	S  9
160.1360000000	n/a	n/a	Trn Stim: blue incongru C	n/a	n/a	S223
160.4960000000	n/a	n/a	Trn Resp: left,incorrect	n/a	n/a	S103
160.5220000000	n/a	n/a	STATUS	n/a	n/a	S  6
162.5440000000	n/a	n/a	Trn Stim: blue incongru C	n/a	n/a	S223
162.8720000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
162.8820000000	n/a	n/a	FB: +1	n/a	n/a	S  8
164.9040000000	n/a	n/a	Trn Stim: yellow incongru B	n/a	n/a	S122
165.2000000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
165.2060000000	n/a	n/a	FB: 0	n/a	n/a	S  9
167.2320000000	n/a	n/a	Trn Stim: blue congru A	n/a	n/a	S211
167.5920000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
167.6000000000	n/a	n/a	FB: +1	n/a	n/a	S  8
169.6220000000	n/a	n/a	Trn Stim: yellow incongru B	n/a	n/a	S122
169.9680000000	n/a	n/a	Trn Resp: right,incorrect	n/a	n/a	S104
169.9920000000	n/a	n/a	STATUS	n/a	n/a	S  6
172.0160000000	n/a	n/a	Trn Stim: yellow incongru B	n/a	n/a	S122
172.2680000000	n/a	n/a	FB: 0	n/a	n/a	S  9
174.2920000000	n/a	n/a	Trn Stim: blue congru C	n/a	n/a	S213
174.6080000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
174.6260000000	n/a	n/a	FB: 0	n/a	n/a	S  9
176.6500000000	n/a	n/a	Trn Stim: blue congru D	n/a	n/a	S214
176.9360000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
176.9520000000	n/a	n/a	FB: 0	n/a	n/a	S  9
178.9760000000	n/a	n/a	Trn Stim: blue congru D	n/a	n/a	S214
179.2820000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
179.2940000000	n/a	n/a	FB: 0	n/a	n/a	S  9
181.3180000000	n/a	n/a	Trn Stim: blue incongru B	n/a	n/a	S222
181.6500000000	n/a	n/a	Trn Resp: left,incorrect	n/a	n/a	S103
181.6700000000	n/a	n/a	STATUS	n/a	n/a	S  6
183.6920000000	n/a	n/a	Trn Stim: blue incongru B	n/a	n/a	S222
183.9540000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
183.9620000000	n/a	n/a	FB: 0	n/a	n/a	S  9
185.9840000000	n/a	n/a	Trn Stim: yellow incongru A	n/a	n/a	S121
186.3140000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
186.3220000000	n/a	n/a	FB: +1	n/a	n/a	S  8
188.3440000000	n/a	n/a	Trn Stim: yellow incongru D	n/a	n/a	S124
188.6900000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
188.6960000000	n/a	n/a	FB: 0	n/a	n/a	S  9
190.7200000000	n/a	n/a	Trn Stim: blue incongru C	n/a	n/a	S223
191.0340000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
191.0400000000	n/a	n/a	FB: +1	n/a	n/a	S  8
193.0620000000	n/a	n/a	Trn Stim: blue incongru A	n/a	n/a	S221
193.3820000000	n/a	n/a	FB: +1	n/a	n/a	S  8
195.4060000000	n/a	n/a	Trn Stim: yellow congru B	n/a	n/a	S112
195.7740000000	n/a	n/a	FB: +1	n/a	n/a	S  8
197.7960000000	n/a	n/a	Trn Stim: yellow incongru D	n/a	n/a	S124
198.1540000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
198.1660000000	n/a	n/a	FB: 0	n/a	n/a	S  9
200.1880000000	n/a	n/a	Trn Stim: blue incongru A	n/a	n/a	S221
200.4920000000	n/a	n/a	FB: +1	n/a	n/a	S  8
202.5140000000	n/a	n/a	Trn Stim: yellow incongru A	n/a	n/a	S121
202.8420000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
202.8500000000	n/a	n/a	FB: +1	n/a	n/a	S  8
204.8740000000	n/a	n/a	Trn Stim: blue incongru B	n/a	n/a	S222
205.2100000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
205.2260000000	n/a	n/a	FB: 0	n/a	n/a	S  9
207.2500000000	n/a	n/a	Trn Stim: blue incongru A	n/a	n/a	S221
207.5700000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
207.5860000000	n/a	n/a	FB: +1	n/a	n/a	S  8
209.6080000000	n/a	n/a	Trn Stim: yellow incongru D	n/a	n/a	S124
209.8780000000	n/a	n/a	FB: 0	n/a	n/a	S  9
211.9020000000	n/a	n/a	Trn Stim: blue congru C	n/a	n/a	S213
212.1780000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
212.1860000000	n/a	n/a	FB: 0	n/a	n/a	S  9
214.2100000000	n/a	n/a	Trn Stim: yellow congru A	n/a	n/a	S111
214.5060000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
214.5120000000	n/a	n/a	FB: +1	n/a	n/a	S  8
216.5340000000	n/a	n/a	Trn Stim: yellow congru A	n/a	n/a	S111
216.9620000000	n/a	n/a	Trn Resp: right,incorrect	n/a	n/a	S104
216.9880000000	n/a	n/a	STATUS	n/a	n/a	S  6
219.0120000000	n/a	n/a	Trn Stim: yellow congru A	n/a	n/a	S111
219.2660000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
219.2800000000	n/a	n/a	FB: +1	n/a	n/a	S  8
221.3060000000	n/a	n/a	Trn Stim: blue incongru D	n/a	n/a	S224
221.6060000000	n/a	n/a	FB: 0	n/a	n/a	S  9
223.6300000000	n/a	n/a	Trn Stim: yellow congru C	n/a	n/a	S113
223.8660000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
223.8820000000	n/a	n/a	FB: 0	n/a	n/a	S  9
225.9060000000	n/a	n/a	Trn Stim: blue congru B	n/a	n/a	S212
226.2180000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
