onset	duration	sample	trial_type	response_time	stim_file	value
0.0000000000	n/a	n/a	STATUS	n/a	n/a	boundary
47.3260000000	n/a	n/a	Trn Stim: yellow congru A	n/a	n/a	S111
47.7580000000	n/a	n/a	Trn Resp: right,incorrect	n/a	n/a	S104
47.7960000000	n/a	n/a	STATUS	n/a	n/a	S  6
49.8360000000	n/a	n/a	Trn Stim: yellow congru A	n/a	n/a	S111
50.1560000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
50.1720000000	n/a	n/a	FB: +1	n/a	n/a	S  8
52.1960000000	n/a	n/a	Trn Stim: blue incongru D	n/a	n/a	S224
52.6960000000	n/a	n/a	Trn No Response	n/a	n/a	S105
52.7160000000	n/a	n/a	STATUS	n/a	n/a	S  7
54.7400000000	n/a	n/a	Trn Stim: blue incongru D	n/a	n/a	S224
55.1080000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
55.1240000000	n/a	n/a	FB: +1	n/a	n/a	S  8
57.1460000000	n/a	n/a	Trn Stim: yellow incongru A	n/a	n/a	S121
57.4520000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
57.4660000000	n/a	n/a	FB: +1	n/a	n/a	S  8
59.4900000000	n/a	n/a	Trn Stim: blue incongru A	n/a	n/a	S221
59.8680000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
59.8760000000	n/a	n/a	FB: +1	n/a	n/a	S  8
61.9000000000	n/a	n/a	Trn Stim: yellow congru B	n/a	n/a	S112
62.3520000000	n/a	n/a	FB: +1	n/a	n/a	S  8
64.3760000000	n/a	n/a	Trn Stim: blue incongru D	n/a	n/a	S224
64.7000000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
64.7100000000	n/a	n/a	FB: 0	n/a	n/a	S  9
66.7360000000	n/a	n/a	Trn Stim: yellow incongru B	n/a	n/a	S122
67.2360000000	n/a	n/a	Trn No Response	n/a	n/a	S105
67.2540000000	n/a	n/a	STATUS	n/a	n/a	S  7
69.2780000000	n/a	n/a	Trn Stim: yellow incongru B	n/a	n/a	S122
69.6280000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
69.6460000000	n/a	n/a	FB: 0	n/a	n/a	S  9
71.6720000000	n/a	n/a	Trn Stim: blue congru A	n/a	n/a	S211
72.0600000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
72.0720000000	n/a	n/a	FB: +1	n/a	n/a	S  8
74.0980000000	n/a	n/a	Trn Stim: yellow congru C	n/a	n/a	S113
74.5980000000	n/a	n/a	Trn No Response	n/a	n/a	S105
74.6160000000	n/a	n/a	STATUS	n/a	n/a	S  7
76.6400000000	n/a	n/a	Trn Stim: yellow congru C	n/a	n/a	S113
76.9560000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
76.9740000000	n/a	n/a	FB: 0	n/a	n/a	S  9
79.0000000000	n/a	n/a	Trn Stim: yellow incongru D	n/a	n/a	S124
79.3580000000	n/a	n/a	Trn Resp: right,incorrect	n/a	n/a	S104
79.3680000000	n/a	n/a	STATUS	n/a	n/a	S  6
81.3920000000	n/a	n/a	Trn Stim: yellow incongru D	n/a	n/a	S124
81.8920000000	n/a	n/a	Trn No Response	n/a	n/a	S105
81.9100000000	n/a	n/a	STATUS	n/a	n/a	S  7
83.9340000000	n/a	n/a	Trn Stim: yellow incongru D	n/a	n/a	S124
84.2380000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
84.2520000000	n/a	n/a	FB: 0	n/a	n/a	S  9
86.2780000000	n/a	n/a	Trn Stim: yellow congru D	n/a	n/a	S114
86.6060000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
86.6120000000	n/a	n/a	FB: 0	n/a	n/a	S  9
88.6360000000	n/a	n/a	Trn Stim: blue incongru B	n/a	n/a	S222
89.0620000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
89.0720000000	n/a	n/a	FB: 0	n/a	n/a	S  9
91.0960000000	n/a	n/a	Trn Stim: blue congru A	n/a	n/a	S211
91.5100000000	n/a	n/a	Trn Resp: left,incorrect	n/a	n/a	S103
91.5300000000	n/a	n/a	STATUS	n/a	n/a	S  6
93.5540000000	n/a	n/a	Trn Stim: blue congru A	n/a	n/a	S211
93.7900000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
93.8060000000	n/a	n/a	FB: +1	n/a	n/a	S  8
95.8300000000	n/a	n/a	Trn Stim: yellow congru C	n/a	n/a	S113
96.1660000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
96.1820000000	n/a	n/a	FB: 0	n/a	n/a	S  9
98.2040000000	n/a	n/a	Trn Stim: yellow incongru C	n/a	n/a	S123
98.6460000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
98.6580000000	n/a	n/a	FB: +1	n/a	n/a	S  8
100.6800000000	n/a	n/a	Trn Stim: yellow incongru C	n/a	n/a	S123
101.0860000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
101.1000000000	n/a	n/a	FB: +1	n/a	n/a	S  8
103.1240000000	n/a	n/a	Trn Stim: yellow congru D	n/a	n/a	S114
103.5600000000	n/a	n/a	FB: 0	n/a	n/a	S  9
105.5840000000	n/a	n/a	Trn Stim: blue congru C	n/a	n/a	S213
105.8620000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
105.8680000000	n/a	n/a	FB: 0	n/a	n/a	S  9
107.8940000000	n/a	n/a	Trn Stim: blue congru D	n/a	n/a	S214
108.2860000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
108.2940000000	n/a	n/a	FB: 0	n/a	n/a	S  9
110.3200000000	n/a	n/a	Trn Stim: yellow incongru B	n/a	n/a	S122
110.5980000000	n/a	n/a	Trn Resp: right,incorrect	n/a	n/a	S104
110.6200000000	n/a	n/a	STATUS	n/a	n/a	S  6
112.6440000000	n/a	n/a	Trn Stim: yellow incongru B	n/a	n/a	S122
113.0220000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
113.0300000000	n/a	n/a	FB: 0	n/a	n/a	S  9
115.0540000000	n/a	n/a	Trn Stim: blue congru A	n/a	n/a	S211
115.4460000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
115.4560000000	n/a	n/a	FB: +1	n/a	n/a	S  8
117.4800000000	n/a	n/a	Trn Stim: yellow congru B	n/a	n/a	S112
117.7900000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
117.7980000000	n/a	n/a	FB: +1	n/a	n/a	S  8
119.8220000000	n/a	n/a	Trn Stim: blue congru B	n/a	n/a	S212
120.2060000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
120.2240000000	n/a	n/a	FB: +1	n/a	n/a	S  8
122.2460000000	n/a	n/a	Trn Stim: blue incongru C	n/a	n/a	S223
122.6060000000	n/a	n/a	Trn Resp: left,incorrect	n/a	n/a	S103
122.6160000000	n/a	n/a	STATUS	n/a	n/a	S  6
124.6380000000	n/a	n/a	Trn Stim: blue incongru C	n/a	n/a	S223
125.0260000000	n/a	n/a	FB: +1	n/a	n/a	S  8
127.0500000000	n/a	n/a	Trn Stim: yellow congru B	n/a	n/a	S112
127.4020000000	n/a	n/a	FB: +1	n/a	n/a	S  8
129.4240000000	n/a	n/a	Trn Stim: yellow incongru B	n/a	n/a	S122
129.8100000000	n/a	n/a	FB: 0	n/a	n/a	S  9
131.8360000000	n/a	n/a	Trn Stim: blue incongru D	n/a	n/a	S224
132.1900000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
132.2020000000	n/a	n/a	FB: 0	n/a	n/a	S  9
134.2280000000	n/a	n/a	Trn Stim: blue incongru D	n/a	n/a	S224
134.5460000000	n/a	n/a	FB: 0	n/a	n/a	S  9
136.5700000000	n/a	n/a	Trn Stim: blue incongru B	n/a	n/a	S222
136.9100000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
136.9220000000	n/a	n/a	FB: 0	n/a	n/a	S  9
138.9460000000	n/a	n/a	Trn Stim: blue congru C	n/a	n/a	S213
139.2860000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
139.2960000000	n/a	n/a	FB: 0	n/a	n/a	S  9
141.3200000000	n/a	n/a	Trn Stim: yellow incongru C	n/a	n/a	S123
141.6140000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
141.6220000000	n/a	n/a	FB: +1	n/a	n/a	S  8
143.6460000000	n/a	n/a	Trn Stim: yellow congru B	n/a	n/a	S112
144.0160000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
144.0320000000	n/a	n/a	FB: +1	n/a	n/a	S  8
146.0540000000	n/a	n/a	Trn Stim: blue incongru C	n/a	n/a	S223
146.3760000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
146.3900000000	n/a	n/a	FB: +1	n/a	n/a	S  8
148.4160000000	n/a	n/a	Trn Stim: yellow congru D	n/a	n/a	S114
148.9160000000	n/a	n/a	Trn No Response	n/a	n/a	S105
148.9340000000	n/a	n/a	STATUS	n/a	n/a	S  7
150.9580000000	n/a	n/a	Trn Stim: yellow congru D	n/a	n/a	S114
151.2640000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
151.2760000000	n/a	n/a	FB: +1	n/a	n/a	S  8
153.2980000000	n/a	n/a	Trn Stim: yellow congru A	n/a	n/a	S111
153.6020000000	n/a	n/a	FB: +1	n/a	n/a	S  8
155.6240000000	n/a	n/a	Trn Stim: blue incongru C	n/a	n/a	S223
156.0640000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
156.0780000000	n/a	n/a	FB: +1	n/a	n/a	S  8
158.1000000000	n/a	n/a	Trn Stim: yellow incongru A	n/a	n/a	S121
158.3540000000	n/a	n/a	FB: +1	n/a	n/a	S  8
160.3760000000	n/a	n/a	Trn Stim: blue incongru C	n/a	n/a	S223
160.8000000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
160.8120000000	n/a	n/a	FB: +1	n/a	n/a	S  8
162.8380000000	n/a	n/a	Trn Stim: blue congru B	n/a	n/a	S212
163.3380000000	n/a	n/a	Trn No Response	n/a	n/a	S105
163.3560000000	n/a	n/a	STATUS	n/a	n/a	S  7
165.3800000000	n/a	n/a	Trn Stim: blue congru B	n/a	n/a	S212
